iter	Passed	Remaining
409	5080	44485
410	5091	44463
411	5103	44448
412	5115	44433
413	5127	44411
414	5139	44396
415	5151	44383
416	5165	44380
417	5176	44361
418	5190	44358
419	5202	44349
420	5216	44344
421	5228	44329
422	5241	44321
423	5254	44316
424	5269	44321
425	5282	44316
426	5293	44298
427	5306	44284
428	5319	44280
429	5332	44268
430	5343	44252
431	5355	44230
432	5371	44247
433	5384	44238
434	5396	44227
435	5407	44201
436	5418	44181
437	5431	44170
438	5444	44165
439	5456	44144
440	5467	44125
441	5480	44116
442	5492	44097
443	5502	44071
444	5515	44059
445	5527	44049
446	5539	44030
447	5550	44005
448	5562	43993
449	5575	43981
450	5586	43957
451	5597	43938
452	5608	43917
453	5620	43897
454	5631	43878
455	5645	43876
456	5658	43866
457	5669	43842
458	5679	43817
459	5691	43799
460	5702	43777
461	5713	43753
462	5724	43730
463	5735	43707
464	5746	43682
465	5756	43658
466	5767	43635
467	5778	43607
468	5789	43584
469	5800	43561
470	5811	43541
471	5821	43513
472	5832	43492
473	5843	43467
474	5854	43446
475	5866	43431
476	5877	43406
477	5888	43388
478	5900	43370
479	5911	43347
480	5921	43324
481	5933	43305
482	5943	43279
483	5954	43258
484	5966	43240
485	5978	43224
486	5988	43198
487	5999	43173
488	6010	43153
489	6020	43127
490	6032	43108
491	6043	43091
492	6054	43066
493	6065	43045
494	6076	43024
495	6087	43002
496	6098	42984
497	6109	42964
498	6120	42941
499	6132	42924
500	6143	42905
501	6154	42882
502	6166	42873
503	6177	42849
504	6188	42826
505	6199	42806
506	6210	42789
507	6222	42773
508	6232	42748
509	6244	42733
510	6255	42713
511	6266	42688
512	6277	42670
513	6289	42653
514	6299	42629
515	6310	42610
516	6321	42586
517	6331	42563
518	6342	42541
519	6353	42522
520	6364	42498
521	6375	42476
522	6386	42456
523	6396	42432
524	6407	42410
525	6418	42390
526	6428	42366
527	6440	42350
528	6451	42332
529	6462	42312
530	6473	42291
531	6484	42273
532	6495	42248
533	6505	42226
534	6516	42203
535	6526	42181
536	6539	42169
537	6551	42158
538	6562	42140
539	6574	42122
540	6586	42112
541	6599	42107
542	6612	42095
543	6624	42084
544	6635	42067
545	6647	42049
546	6657	42026
547	6668	42007
548	6679	41987
549	6689	41963
550	6700	41941
551	6712	41930
552	6723	41912
553	6736	41899
554	6747	41885
555	6760	41874
556	6771	41857
557	6783	41842
558	6795	41830
559	6806	41809
560	6817	41790
561	6829	41777
562	6841	41764
563	6852	41744
564	6864	41732
565	6877	41725
566	6889	41712
567	6900	41697
568	6912	41679
569	6924	41668
570	6935	41649
571	6947	41636
572	6959	41622
573	6972	41615
574	6983	41596
575	6995	41582
576	7006	41565
577	7017	41546
578	7028	41527
579	7039	41510
580	7050	41487
581	7060	41467
582	7071	41448
583	7082	41427
584	7093	41407
585	7103	41386
586	7114	41363
587	7124	41341
588	7135	41322
589	7145	41298
590	7156	41281
591	7168	41269
592	7180	41254
593	7192	41241
594	7205	41237
595	7217	41222
596	7228	41201
597	7238	41180
598	7250	41166
599	7261	41150
600	7272	41130
601	7284	41115
602	7296	41102
603	7306	41080
604	7318	41066
605	7330	41056
606	7343	41047
607	7355	41034
608	7367	41020
609	7378	41006
610	7389	40986
611	7400	40970
612	7412	40954
613	7422	40933
614	7433	40914
615	7444	40894
616	7455	40876
617	7465	40855
618	7476	40838
619	7487	40816
620	7498	40798
621	7509	40785
622	7520	40765
623	7531	40749
624	7543	40734
625	7554	40716
626	7564	40695
627	7576	40680
628	7586	40659
629	7599	40649
630	7611	40639
631	7623	40624
632	7633	40603
633	7644	40583
634	7655	40566
635	7666	40548
636	7676	40529
637	7688	40512
638	7698	40491
639	7710	40478
640	7722	40465
641	7733	40451
642	7744	40432
643	7757	40423
644	7769	40411
645	7780	40395
646	7791	40377
647	7803	40364
648	7814	40346
649	7825	40328
650	7835	40310
651	7846	40291
652	7857	40273
653	7868	40256
654	7879	40238
655	7889	40217
656	7900	40200
657	7911	40180
658	7922	40165
659	7933	40147
660	7948	40149
661	7959	40131
662	7969	40112
663	7980	40096
664	7991	40076
665	8002	40058
666	8012	40039
667	8023	40020
668	8034	40003
669	8045	39989
670	8056	39971
671	8067	39953
672	8079	39941
673	8090	39924
674	8101	39908
675	8113	39894
676	8124	39878
677	8135	39861
678	8146	39844
679	8157	39827
680	8167	39808
681	8178	39790
682	8190	39776
683	8201	39761
684	8222	39790
685	8233	39772
686	8244	39756
687	8255	39740
688	8266	39722
689	8277	39707
690	8288	39693
691	8299	39675
692	8310	39659
693	8322	39645
694	8332	39625
695	8343	39609
696	8354	39592
697	8365	39574
698	8376	39555
699	8386	39538
700	8397	39520
701	8409	39505
702	8420	39491
703	8431	39472
704	8442	39458
705	8453	39442
706	8464	39424
707	8475	39407
708	8486	39391
709	8497	39373
710	8507	39356
711	8518	39339
712	8529	39320
713	8540	39304
714	8552	39293
715	8564	39281
716	8575	39266
717	8591	39271
718	8604	39265
719	8617	39258
720	8632	39258
721	8644	39245
722	8655	39231
723	8668	39222
724	8680	39211
725	8691	39197
726	8703	39183
727	8715	39171
728	8727	39157
729	8739	39146
730	8752	39138
731	8765	39132
732	8776	39118
733	8787	39102
734	8799	39089
735	8812	39080
736	8823	39066
737	8835	39051
738	8846	39037
739	8858	39023
740	8868	39004
741	8879	38988
742	8891	38975
743	8902	38960
744	8913	38944
745	8924	38929
746	8935	38911
747	8946	38893
748	8958	38881
749	8968	38864
750	8979	38845
751	8991	38835
752	9003	38822
753	9014	38807
754	9027	38799
755	9039	38788
756	9052	38779
757	9063	38765
758	9075	38754
759	9089	38750
760	9102	38740
761	9113	38726
762	9125	38713
763	9137	38703
764	9149	38691
765	9160	38674
766	9172	38663
767	9184	38650
768	9195	38637
769	9207	38625
770	9220	38614
771	9233	38606
772	9244	38592
773	9254	38574
774	9265	38557
775	9276	38539
776	9287	38522
777	9299	38511
778	9312	38505
779	9323	38489
780	9334	38475
781	9347	38464
782	9363	38471
783	9378	38470
784	9389	38456
785	9404	38456
786	9417	38449
787	9430	38440
788	9443	38431
789	9455	38421
790	9467	38409
791	9480	38399
792	9492	38390
793	9505	38381
794	9517	38370
795	9530	38360
796	9543	38352
797	9557	38348
798	9572	38351
799	9585	38342
800	9598	38335
801	9611	38325
802	9623	38314
803	9634	38299
804	9647	38290
805	9663	38294
806	9677	38291
807	9691	38287
808	9707	38288
809	9720	38281
810	9731	38266
811	9744	38257
812	9756	38247
813	9769	38239
814	9780	38222
815	9793	38213
816	9806	38204
817	9818	38194
818	9829	38178
819	9841	38165
820	9853	38155
821	9865	38141
822	9876	38125
823	9888	38115
824	9901	38104
825	9912	38088
826	9923	38072
827	9935	38062
828	9947	38049
829	9958	38034
830	9969	38020
831	9982	38008
832	9993	37994
833	10004	37978
834	10016	37964
835	10027	37950
836	10038	37934
837	10050	37922
838	10061	37909
839	10073	37895
840	10084	37880
841	10096	37866
842	10106	37849
843	10117	37831
844	10128	37816
845	10139	37802
846	10150	37787
847	10162	37774
848	10173	37758
849	10183	37740
850	10194	37724
851	10205	37707
852	10215	37688
853	10226	37673
854	10237	37656
855	10247	37639
856	10259	37625
857	10269	37607
858	10280	37590
859	10291	37574
860	10301	37556
861	10311	37538
862	10322	37522
863	10332	37504
864	10343	37488
865	10354	37472
866	10364	37454
867	10375	37439
868	10386	37424
869	10397	37408
870	10408	37392
871	10419	37377
872	10430	37360
873	10440	37342
874	10451	37327
875	10462	37310
876	10472	37293
877	10483	37278
878	10493	37259
879	10504	37243
880	10515	37228
881	10525	37210
882	10536	37193
883	10548	37183
884	10560	37171
885	10571	37155
886	10583	37142
887	10593	37124
888	10603	37108
889	10616	37097
890	10628	37084
891	10639	37072
892	10650	37057
893	10661	37042
894	10672	37024
895	10683	37009
896	10694	36994
897	10704	36977
898	10717	36968
899	10732	36966
900	10744	36954
901	10754	36938
902	10768	36930
903	10779	36917
904	10791	36905
905	10802	36889
906	10814	36877
907	10825	36865
908	10836	36849
909	10848	36838
910	10861	36828
911	10872	36814
912	10884	36800
913	10895	36787
914	10906	36773
915	10917	36757
916	10928	36743
917	10940	36729
918	10950	36713
919	10961	36698
920	10972	36683
921	10983	36666
922	10993	36649
923	11004	36634
924	11014	36616
925	11025	36601
926	11036	36587
927	11047	36569
928	11057	36553
929	11068	36538
930	11079	36521
931	11089	36504
932	11100	36489
933	11110	36472
934	11121	36458
935	11133	36445
936	11143	36428
937	11154	36413
938	11165	36399
939	11176	36382
940	11188	36370
941	11200	36359
942	11210	36342
943	11221	36328
944	11233	36314
945	11243	36298
946	11254	36282
947	11266	36270
948	11276	36253
949	11287	36239
950	11299	36226
951	11309	36209
952	11320	36193
953	11331	36178
954	11341	36161
955	11351	36145
956	11362	36131
957	11373	36114
958	11384	36101
959	11395	36086
960	11406	36072
961	11418	36059
962	11429	36044
963	11439	36028
964	11450	36012
965	11462	36000
966	11475	35992
967	11485	35974
968	11496	35959
969	11507	35944
970	11517	35929
971	11528	35913
972	11541	35905
973	11552	35892
974	11564	35878
975	11574	35862
976	11585	35846
977	11595	35830
978	11606	35816
979	11618	35804
980	11630	35793
981	11643	35783
982	11655	35772
983	11666	35758
984	11677	35744
985	11689	35732
986	11700	35716
987	11710	35701
988	11722	35688
989	11733	35673
990	11744	35658
991	11755	35646
992	11766	35632
993	11776	35615
994	11788	35603
995	11800	35590
996	11811	35577
997	11825	35570
998	11836	35557
999	11847	35543
1000	11859	35531
1001	11870	35518
1002	11882	35505
1003	11893	35492
1004	11905	35478
1005	11916	35465
1006	11928	35454
1007	11940	35442
1008	11952	35431
1009	11964	35418
1010	11974	35402
1011	11985	35388
1012	11997	35377
1013	12007	35360
1014	12018	35344
1015	12030	35333
1016	12040	35317
1017	12051	35303
1018	12064	35292
1019	12075	35280
1020	12087	35268
1021	12098	35255
1022	12111	35245
1023	12124	35236
1024	12135	35222
1025	12146	35208
1026	12157	35193
1027	12167	35177
1028	12178	35162
1029	12189	35148
1030	12201	35136
1031	12213	35125
1032	12224	35111
1033	12234	35094
1034	12245	35080
1035	12256	35067
1036	12267	35052
1037	12279	35038
1038	12290	35026
1039	12301	35010
1040	12311	34995
1041	12322	34981
1042	12334	34968
1043	12345	34954
1044	12356	34940
1045	12367	34928
1046	12378	34912
1047	12388	34896
1048	12400	34883
1049	12410	34867
1050	12421	34853
1051	12432	34839
1052	12442	34823
1053	12453	34807
1054	12466	34798
1055	12477	34785
1056	12489	34773
1057	12500	34760
1058	12513	34753
1059	12525	34741
1060	12537	34730
1061	12549	34716
1062	12559	34700
1063	12569	34685
1064	12580	34671
1065	12591	34656
1066	12601	34640
1067	12613	34627
1068	12625	34616
1069	12637	34605
1070	12649	34593
1071	12660	34579
1072	12670	34562
1073	12681	34548
1074	12692	34536
1075	12703	34520
1076	12716	34512
1077	12727	34499
1078	12738	34484
1079	12748	34469
1080	12760	34457
1081	12771	34442
1082	12782	34427
1083	12792	34413
1084	12804	34401
1085	12815	34386
1086	12826	34372
1087	12837	34357
1088	12848	34345
1089	12860	34335
1090	12872	34322
1091	12885	34313
1092	12895	34297
1093	12906	34283
1094	12917	34269
1095	12928	34255
1096	12939	34241
1097	12950	34227
1098	12960	34212
1099	12971	34198
1100	12982	34184
1101	12993	34168
1102	13004	34156
1103	13016	34143
1104	13026	34128
1105	13052	34154
1106	13065	34144
1107	13077	34133
1108	13088	34120
1109	13101	34110
1110	13112	34098
1111	13124	34086
1112	13136	34074
1113	13148	34064
1114	13160	34050
1115	13172	34040
1116	13183	34027
1117	13195	34014
1118	13206	34000
1119	13220	33996
1120	13235	33990
1121	13248	33984
1122	13263	33978
1123	13278	33975
1124	13289	33962
1125	13301	33951
1126	13313	33939
1127	13325	33928
1128	13338	33918
1129	13350	33909
1130	13363	33897
1131	13374	33884
1132	13385	33872
1133	13397	33861
1134	13410	33850
1135	13420	33835
1136	13432	33822
1137	13443	33810
1138	13454	33796
1139	13465	33781
1140	13491	33805
1141	13510	33810
1142	13521	33798
1143	13532	33783
1144	13543	33770
1145	13555	33757
1146	13565	33742
1147	13577	33729
1148	13588	33716
1149	13598	33701
1150	13610	33688
1151	13620	33673
1152	13631	33658
1153	13641	33643
1154	13652	33629
1155	13666	33621
1156	13677	33607
1157	13688	33594
1158	13699	33580
1159	13709	33565
1160	13721	33552
1161	13731	33537
1162	13743	33524
1163	13753	33510
1164	13765	33496
1165	13775	33481
1166	13785	33466
1167	13796	33452
1168	13807	33437
1169	13818	33423
1170	13829	33410
1171	13840	33395
1172	13851	33381
1173	13862	33368
1174	13874	33357
1175	13884	33342
1176	13896	33329
1177	13907	33316
1178	13917	33301
1179	13928	33286
1180	13938	33271
1181	13949	33257
1182	13960	33244
1183	13971	33228
1184	13982	33215
1185	13992	33200
1186	14002	33183
1187	14012	33168
1188	14023	33154
1189	14034	33139
1190	14045	33125
1191	14059	33120
1192	14075	33117
1193	14085	33102
1194	14096	33087
1195	14107	33073
1196	14118	33060
1197	14128	33046
1198	14140	33033
1199	14150	33018
1200	14161	33004
1201	14172	32991
1202	14183	32976
1203	14193	32962
1204	14205	32948
1205	14215	32932
1206	14227	32922
1207	14239	32910
1208	14249	32895
1209	14259	32880
1210	14270	32865
1211	14281	32852
1212	14293	32840
1213	14304	32826
1214	14315	32813
1215	14325	32798
1216	14336	32783
1217	14346	32769
1218	14357	32754
1219	14368	32741
1220	14379	32727
1221	14390	32714
1222	14401	32700
1223	14412	32688
1224	14423	32673
1225	14434	32660
1226	14445	32646
1227	14456	32631
1228	14467	32620
1229	14480	32609
1230	14491	32597
1231	14502	32583
1232	14513	32569
1233	14524	32555
1234	14534	32540
1235	14545	32527
1236	14556	32513
1237	14566	32497
1238	14577	32483
1239	14587	32469
1240	14598	32455
1241	14609	32442
1242	14620	32427
1243	14630	32413
1244	14642	32401
1245	14652	32386
1246	14663	32371
1247	14673	32358
1248	14684	32343
1249	14695	32329
1250	14706	32317
1251	14717	32302
1252	14728	32288
1253	14739	32275
1254	14749	32260
1255	14760	32246
1256	14771	32234
1257	14782	32219
1258	14792	32205
1259	14804	32192
1260	14814	32178
1261	14825	32163
1262	14836	32151
1263	14846	32136
1264	14858	32124
1265	14869	32111
1266	14879	32097
1267	14890	32082
1268	14901	32069
1269	14911	32054
1270	14923	32043
1271	14935	32030
1272	14945	32016
1273	14956	32001
1274	14967	31988
1275	14977	31974
1276	14988	31960
1277	14999	31947
1278	15009	31932
1279	15020	31918
1280	15032	31906
1281	15042	31891
1282	15053	31878
1283	15064	31865
1284	15075	31851
1285	15086	31837
1286	15096	31824
1287	15107	31810
1288	15119	31798
1289	15132	31789
1290	15145	31781
1291	15156	31768
1292	15167	31755
1293	15179	31743
1294	15190	31729
1295	15201	31716
1296	15213	31705
1297	15226	31695
1298	15237	31682
1299	15248	31670
1300	15261	31659
1301	15272	31648
1302	15283	31634
1303	15295	31623
1304	15307	31611
1305	15318	31598
1306	15330	31586
1307	15341	31575
1308	15352	31560
1309	15363	31546
1310	15374	31533
1311	15384	31519
1312	15395	31505
1313	15406	31492
1314	15416	31478
1315	15427	31464
1316	15438	31451
1317	15450	31439
1318	15464	31433
1319	15477	31424
1320	15489	31413
1321	15500	31399
1322	15511	31386
1323	15523	31374
1324	15534	31362
1325	15545	31349
1326	15557	31336
1327	15568	31324
1328	15578	31310
1329	15589	31296
1330	15600	31283
1331	15611	31269
1332	15621	31255
1333	15633	31242
1334	15643	31229
1335	15654	31215
1336	15665	31202
1337	15675	31187
1338	15686	31173
1339	15697	31161
1340	15708	31147
1341	15718	31132
1342	15729	31119
1343	15740	31106
1344	15750	31091
1345	15761	31077
1346	15771	31062
1347	15781	31048
1348	15794	31038
1349	15805	31024
1350	15818	31016
1351	15829	31004
1352	15840	30990
1353	15850	30975
1354	15862	30963
1355	15873	30950
1356	15883	30936
1357	15894	30923
1358	15905	30910
1359	15916	30896
1360	15938	30904
1361	15950	30893
1362	15961	30880
1363	15973	30868
1364	15983	30854
1365	15994	30841
1366	16006	30829
1367	16016	30815
1368	16027	30802
1369	16039	30790
1370	16049	30775
1371	16060	30762
1372	16072	30751
1373	16089	30750
1374	16101	30738
1375	16111	30725
1376	16123	30712
1377	16134	30699
1378	16145	30686
1379	16156	30674
1380	16168	30661
1381	16178	30647
1382	16198	30652
1383	16209	30638
1384	16219	30624
1385	16229	30609
1386	16240	30595
1387	16251	30581
1388	16262	30569
1389	16272	30555
1390	16283	30542
1391	16293	30527
1392	16304	30513
1393	16314	30499
1394	16324	30484
1395	16336	30472
1396	16346	30458
1397	16358	30446
1398	16370	30435
1399	16381	30422
1400	16391	30408
1401	16403	30395
1402	16414	30383
1403	16425	30370
1404	16437	30358
1405	16449	30348
1406	16462	30338
1407	16472	30324
1408	16483	30312
1409	16495	30299
1410	16505	30285
1411	16516	30272
1412	16528	30260
1413	16538	30246
1414	16572	30274
1415	16598	30290
1416	16617	30290
1417	16631	30284
1418	16642	30270
1419	16652	30256
1420	16663	30243
1421	16674	30229
1422	16685	30216
1423	16696	30203
1424	16709	30194
1425	16720	30181
1426	16731	30168
1427	16742	30155
1428	16753	30142
1429	16765	30130
1430	16776	30117
1431	16786	30102
1432	16797	30089
1433	16808	30076
1434	16818	30062
1435	16831	30052
1436	16843	30041
1437	16853	30027
1438	16864	30013
1439	16875	30001
1440	16886	29987
1441	16897	29974
1442	16908	29961
1443	16918	29947
1444	16929	29934
1445	16940	29921
1446	16951	29907
1447	16964	29897
1448	16976	29887
1449	16989	29877
1450	16999	29863
1451	17010	29850
1452	17022	29838
1453	17032	29824
1454	17043	29811
1455	17054	29798
1456	17064	29784
1457	17075	29770
1458	17085	29756
1459	17097	29744
1460	17107	29730
1461	17118	29717
1462	17129	29704
1463	17140	29690
1464	17151	29678
1465	17161	29664
1466	17172	29650
1467	17183	29637
1468	17193	29623
1469	17204	29610
1470	17215	29596
1471	17225	29583
1472	17236	29569
1473	17247	29556
1474	17257	29542
1475	17268	29530
1476	17279	29516
1477	17289	29502
1478	17300	29489
1479	17311	29475
1480	17321	29461
1481	17331	29447
1482	17341	29433
1483	17353	29420
1484	17363	29407
1485	17374	29393
1486	17385	29380
1487	17398	29371
1488	17411	29361
1489	17421	29348
1490	17432	29335
1491	17443	29322
1492	17453	29308
1493	17464	29294
1494	17475	29280
1495	17486	29269
1496	17497	29256
1497	17508	29243
1498	17518	29229
1499	17529	29216
1500	17540	29203
1501	17551	29190
1502	17562	29176
1503	17573	29163
1504	17583	29150
1505	17594	29137
1506	17606	29125
1507	17616	29111
1508	17627	29098
1509	17638	29085
1510	17649	29072
1511	17660	29059
1512	17671	29047
1513	17682	29034
1514	17693	29021
1515	17703	29008
1516	17714	28994
1517	17724	28981
1518	17735	28968
1519	17746	28954
1520	17756	28940
1521	17767	28927
1522	17777	28913
1523	17788	28900
1524	17799	28886
1525	17809	28873
1526	17820	28860
1527	17831	28847
1528	17841	28833
1529	17852	28821
1530	17863	28807
1531	17874	28794
1532	17885	28782
1533	17895	28768
1534	17905	28754
1535	17916	28741
1536	17927	28727
1537	17937	28714
1538	17948	28701
1539	17959	28687
1540	17970	28675
1541	17981	28663
1542	17992	28650
