iter	Passed	Remaining
437	1438	3816
438	1441	3813
439	1444	3809
440	1448	3805
441	1451	3802
442	1454	3799
443	1458	3797
444	1461	3793
445	1464	3790
446	1468	3787
447	1471	3784
448	1474	3780
449	1478	3777
450	1481	3774
451	1484	3770
452	1487	3767
453	1491	3763
454	1494	3760
455	1498	3758
456	1501	3754
457	1504	3751
458	1507	3748
459	1510	3744
460	1514	3741
461	1517	3738
462	1520	3734
463	1524	3731
464	1527	3728
465	1530	3724
466	1533	3721
467	1537	3718
468	1540	3714
469	1543	3711
470	1546	3708
471	1550	3704
472	1553	3701
473	1556	3698
474	1560	3694
475	1563	3691
476	1566	3688
477	1569	3685
478	1573	3682
479	1576	3679
480	1580	3676
481	1583	3673
482	1587	3670
483	1590	3667
484	1594	3664
485	1597	3661
486	1600	3658
487	1604	3655
488	1607	3652
489	1610	3649
490	1614	3646
491	1618	3643
492	1621	3640
493	1624	3637
494	1627	3634
495	1631	3630
496	1634	3627
497	1637	3624
498	1641	3621
499	1644	3618
500	1648	3615
501	1651	3612
502	1654	3608
503	1658	3605
504	1661	3602
505	1664	3599
506	1667	3595
507	1671	3592
508	1674	3589
509	1678	3586
510	1681	3583
511	1684	3580
512	1688	3577
513	1691	3574
514	1695	3571
515	1698	3567
516	1701	3564
517	1704	3561
518	1708	3558
519	1712	3555
520	1715	3552
521	1718	3549
522	1722	3547
523	1726	3544
524	1729	3541
525	1733	3538
526	1736	3535
527	1740	3533
528	1743	3530
529	1747	3527
530	1750	3524
531	1754	3521
532	1757	3518
533	1761	3515
534	1764	3512
535	1767	3509
536	1771	3505
537	1774	3502
538	1777	3499
539	1780	3495
540	1784	3492
541	1787	3489
542	1790	3485
543	1794	3482
544	1797	3479
545	1800	3475
546	1803	3472
547	1806	3468
548	1810	3465
549	1813	3461
550	1816	3458
551	1820	3455
552	1823	3452
553	1826	3449
554	1830	3445
555	1833	3442
556	1836	3438
557	1840	3436
558	1843	3432
559	1846	3429
560	1850	3426
561	1853	3423
562	1856	3420
563	1860	3418
564	1864	3415
565	1867	3412
566	1870	3408
567	1874	3404
568	1877	3401
569	1880	3398
570	1883	3395
571	1887	3391
572	1890	3388
573	1893	3385
574	1897	3382
575	1900	3378
576	1903	3375
577	1907	3371
578	1910	3368
579	1913	3365
580	1916	3361
581	1920	3358
582	1923	3355
583	1926	3352
584	1930	3348
585	1933	3345
586	1936	3342
587	1940	3339
588	1943	3335
589	1946	3332
590	1950	3329
591	1953	3326
592	1956	3323
593	1960	3320
594	1963	3317
595	1967	3313
596	1970	3310
597	1974	3308
598	1977	3304
599	1980	3301
600	1984	3298
601	1987	3295
602	1991	3292
603	1994	3289
604	1998	3286
605	2001	3283
606	2005	3280
607	2008	3277
608	2012	3274
609	2015	3271
610	2019	3268
611	2022	3265
612	2026	3262
613	2029	3259
614	2033	3256
615	2036	3253
616	2039	3249
617	2042	3246
618	2046	3243
619	2049	3239
620	2053	3236
621	2056	3233
622	2059	3230
623	2063	3227
624	2066	3224
625	2070	3220
626	2073	3217
627	2076	3214
628	2080	3211
629	2083	3208
630	2087	3205
631	2090	3202
632	2094	3199
633	2097	3195
634	2101	3192
635	2104	3189
636	2107	3186
637	2110	3182
638	2114	3179
639	2117	3176
640	2120	3172
641	2123	3169
642	2127	3166
643	2130	3162
644	2133	3159
645	2137	3156
646	2140	3152
647	2143	3149
648	2146	3145
649	2149	3142
650	2153	3138
651	2156	3135
652	2159	3132
653	2163	3129
654	2166	3125
655	2169	3122
656	2173	3118
657	2176	3115
658	2179	3112
659	2182	3108
660	2186	3105
661	2189	3102
662	2192	3098
663	2195	3095
664	2199	3092
665	2202	3088
666	2205	3085
667	2209	3082
668	2212	3078
669	2215	3075
670	2218	3071
671	2221	3068
672	2225	3065
673	2228	3062
674	2231	3058
675	2235	3055
676	2238	3051
677	2241	3048
678	2244	3045
679	2248	3041
680	2251	3038
681	2254	3035
682	2258	3031
683	2261	3028
684	2265	3025
685	2268	3022
686	2271	3018
687	2274	3015
688	2277	3011
689	2281	3008
690	2284	3004
691	2287	3001
692	2290	2998
693	2294	2994
694	2297	2991
695	2300	2988
696	2304	2985
697	2307	2981
698	2310	2978
699	2313	2974
700	2317	2971
701	2320	2968
702	2323	2965
703	2327	2961
704	2330	2958
705	2333	2955
706	2337	2951
707	2340	2948
708	2343	2945
709	2346	2941
710	2350	2938
711	2353	2935
712	2356	2931
713	2360	2928
714	2363	2925
715	2366	2922
716	2370	2918
717	2373	2915
718	2376	2912
719	2380	2908
720	2383	2905
721	2386	2902
722	2390	2899
723	2393	2896
724	2396	2892
725	2400	2889
726	2403	2885
727	2406	2882
728	2410	2879
729	2413	2876
730	2416	2872
731	2420	2869
732	2423	2866
733	2426	2863
734	2430	2860
735	2433	2856
736	2437	2853
737	2440	2850
738	2443	2847
739	2447	2844
740	2450	2841
741	2454	2837
742	2457	2834
743	2461	2831
744	2464	2828
745	2467	2825
746	2471	2822
747	2474	2818
748	2478	2815
749	2481	2812
750	2484	2809
751	2488	2805
752	2491	2802
753	2495	2799
754	2498	2796
755	2502	2793
